No.,0_Steering_Wheel,1_Throttle,3_Steering_Wheel,4_Throttle,6_Steering_Wheel,105_Steering_Wheel,144_Steering_Wheel,147_Steering_Wheel,148_Throttle,P_vector_1,P_vector_2,P_vector_3,P_vector_4,Emotion_Real
9,-0.22459197,0.586063266,-0.22459197,0.586063266,-0.22459197,-0.246128283,-0.246128283,-0.246128283,0.628794491,1,1.37E-08,7.99E-12,8.97E-15,0
14,-1.507668129,0.609661818,-1.507668129,0.609661818,-1.507668129,-2.172483558,-2.557314813,-2.588105015,0.621248782,1,1.09E-09,3.56E-15,2.07E-15,0
18,0.175366191,0.48542136,0.175366191,0.48542136,0.175366191,0.781474333,0.756859806,0.756859806,0.138386071,1,2.18E-10,1.22E-15,2.95E-15,0
23,-0.559947432,0,-0.559947432,0,-0.559947432,-0.559947432,-0.615328475,-0.615328475,0,1,3.96E-09,1.35E-13,1.97E-13,0
25,-3.36114843,0.621248782,-3.36114843,0.621248782,-3.36114843,-2.973034087,-3.016152251,-3.016152251,0.621248782,1,2.74E-08,9.71E-13,8.74E-11,0
38,-0.375346803,0.672789395,-0.375346803,0.672789395,-0.375346803,-0.230745196,-0.221515357,-0.221515357,0.647369385,1,1.60E-09,3.19E-11,1.07E-13,0
43,9.111958321,0.654700637,9.111958321,0.654700637,9.111958321,6.715885008,6.545786583,6.545786583,0.651041925,1,1.46E-10,6.93E-12,3.29E-13,0
55,2.4249234,0.240343273,2.421844653,0.240343273,2.421844653,1.550752322,3.872660181,3.878824503,0.07299161,1,6.56E-10,3.43E-10,1.31E-10,0
58,-2.548077719,0.557768166,-2.548077719,0.561859071,-2.548077719,-2.548077719,-2.643528777,-2.643528777,0.628794491,1,2.22E-08,6.51E-10,1.50E-09,0
62,-0.098451108,0.628794491,-0.098451108,0.628794491,-0.098451108,0.104604313,0.104604313,0.104604313,0.628794491,1,1.28E-08,3.23E-11,1.51E-10,0
69,-0.156906555,0,-0.156906555,0,-0.156906555,-0.156906555,-0.156906555,-0.156906555,0,1,2.01E-09,2.99E-13,7.81E-11,0
93,-3.065432005,0.086428814,-3.065432005,0.086428814,-3.065432005,-3.071592231,-3.139355051,-3.139355051,0.086428814,0.99999976,2.34E-07,5.19E-12,2.48E-11,0
95,-2.954555118,0.609661818,-2.954555118,0.609661818,-2.99767294,-3.120874034,-3.013072309,-3.013072309,0.625036359,0.9999999,6.44E-08,6.12E-13,3.19E-13,0
99,-0.92608693,0.625036359,-0.92608693,0.625036359,-0.92608693,-1.840051603,-2.212502147,-2.212502147,0.625036359,0.99999976,2.06E-07,6.71E-11,3.84E-12,0
100,-0.086144714,0,-0.086144714,0,-0.086144714,-0.086144714,-0.086144714,-0.086144714,0,0.99999964,3.02E-07,1.08E-11,1.44E-12,0
103,-0.713784705,0.821964324,-0.713784705,0.828089178,-0.713784705,-0.713784705,-1.95085645,-1.95085645,0,1,3.80E-08,2.20E-12,2.70E-13,0
108,-2.680479033,0.211461216,-2.680479033,0.211461216,-2.686637552,-2.73590621,-2.73590621,-2.73590621,0.211461216,0.99999726,2.80E-06,2.55E-11,9.18E-12,0
116,-3.546006404,0.273901016,-3.546006404,0.273901016,-3.546006404,-3.546006404,-3.546006404,-3.546006404,0.193708956,0.9999999,3.66E-08,6.72E-09,4.74E-08,0
119,1.036857123,0.327387393,1.036857123,0.435562819,1.036857123,2.501893782,2.723588832,2.723588832,0.878642201,1,7.83E-11,5.26E-11,8.53E-13,0
123,-0.076914918,0.368129671,-0.076914918,0.368129671,-0.076914918,-0.076914918,-0.076914918,-0.076914918,0.440203071,1,5.48E-10,2.45E-08,2.47E-10,0
130,-0.156906555,0,-0.156906555,0,-0.156906555,-0.116910713,-0.046148946,-0.046148946,0,1,2.69E-09,1.68E-08,5.31E-10,0
152,0.304584125,0.621248782,0.304584125,0.621248782,0.304584125,0.267664618,-0.467646648,-0.467646648,0.578051984,1,3.53E-11,1.58E-10,4.75E-12,0
156,14.63797922,0.65834552,14.63797922,0.65834552,14.63797922,14.63797922,14.63797922,14.63797922,0.651041925,1,3.46E-10,4.85E-09,6.87E-11,0
158,-0.458416638,0.88441962,-0.458416638,0.88441962,-0.458416638,-0.433803306,-0.433803306,-0.433803306,1,1,3.53E-11,2.91E-10,5.55E-11,0
159,-7.173836633,0.721709907,-7.173836633,0.721709907,-7.173836633,-4.837818263,-4.967405259,-5.078495192,0.721709907,1,9.30E-11,1.17E-11,1.25E-11,0
172,-0.615328475,0.872830033,-0.615328475,0.872830033,-0.615328475,-1.359955277,-0.77532068,-0.77532068,0.872830033,1,4.47E-08,3.29E-10,2.36E-09,0
180,0.092297914,0.694058895,0.092297914,0.694058895,0.092297914,0.092297914,0.092297914,0.092297914,0.694058895,1,5.63E-11,1.60E-11,6.30E-12,0
184,-0.076914918,0,-0.076914918,0,-0.076914918,-0.076914918,-0.076914918,-0.076914918,0,1,2.29E-09,2.46E-11,4.06E-11,0
187,-1.643078371,0.306354433,-1.566139741,0.284833223,-1.566139741,-2.243286374,-1.54767494,-1.366109783,0.284833223,1,1.96E-11,3.57E-12,4.98E-13,0
194,-2.403372171,0.363129735,-2.4249234,0.353051633,-2.4249234,-2.791335264,-2.97919363,-2.991513056,0.337734908,1,4.39E-09,5.56E-12,2.11E-11,0
200,-6.963383833,0.621263564,-6.963383833,0.621263564,-6.963383833,-6.963383833,-6.864372285,-6.437565595,0.625036359,1,7.04E-10,1.73E-11,1.53E-11,0
201,-2.569630826,0.609661818,-2.569630826,0.609661818,-2.569630826,-2.572709743,-2.572709743,-2.572709743,0.601859391,1,4.72E-10,2.54E-11,6.15E-12,0
205,-6.307723217,0.74194181,-6.307723217,0.74194181,-6.307723217,-6.279903703,-6.279903703,-6.279903703,0.74194181,1,2.09E-09,4.60E-10,6.06E-10,0
206,-7.062411086,0.837204337,-7.065506392,0.840223789,-7.065506392,-7.065506392,-6.521048718,-6.521048718,0.849225879,1,8.27E-10,2.25E-12,8.63E-14,0
217,0.092297914,0.601859391,0.092297914,0.601859391,0.092297914,0.092297914,0.092297914,0.092297914,0.617401898,1,2.61E-09,3.73E-13,9.40E-14,0
219,-0.230745196,0,-0.230745196,0,-0.230745196,-0.230745196,-0.230745196,-0.230745196,0,1,2.24E-10,4.81E-14,3.76E-16,0
